01706A;0001128468;4;2024;05;0;        1;20240321;0001R13988526;        30064.23;       4721.93;       2856.76;0;0;0010215476;01;05;          1000;       2299.99;             0;0;0;0
01702A;0001134365;6;2024;05;R;        1;20240321;0001R13988527;        89188.87;      14008.13;       8474.96;0;0;0010215477;01;05;      22019.94;       5504.98;             0;0;0;0
01703B;0001140068;4;2024;05;R;        1;20240321;0001R13988528;        31938.12;       5016.27;       3034.85;0;0;0010215478;01;05;       5279.99;           600;             0;0;0;0
01703B;0001170440;3;2024;05;R;        1;20240321;0001R13988529;        56875.00;        8932.9;       5404.39;0;0;0010215479;01;05;      16499.96;       2159.99;             0;0;0;0
01704A;0001179143;8;2024;05;R;        1;20240321;0001R13988530;        39083.54;       6410.66;       2145.95;0;0;0010215480;01;05;          1000;       1939.99;             0;0;0;0
01702A;0001187666;2;2024;05;B;        1;20240321;0001R13988531;        41101.52;       6455.49;       3905.57;14485.52;0;0010215481;01;05;      15359.96;        719.99;             0;0;0;0
01716A;0001187704;9;2024;05;R;        1;20240321;0001R13988532;        34604.79;        5435.1;       3288.23;0;0;0010215482;01;05;          1000;       2789.99;             0;0;0;0
01704A;0001190174;8;2024;05;0;        1;20240321;0001R13988533;        16988.40;       2668.23;       1614.28;0;0;0010215483;01;05;       2999.99;             0;             0;0;0;0
01703B;0001195789;1;2024;05;R;        1;20240321;0001R13988534;        44499.21;       6989.14;       4228.44;0;0;0010215484;01;05;       4459.98;          1320;             0;0;0;0
01703B;0001198149;0;2024;05;0;        1;20240321;0001R13988535;        45662.70;       7171.88;       4338.98;0;0;0010215485;01;05;       5799.99;          1850;             0;0;0;0
01701A;0001207944;8;2024;05;R;        1;20240321;0001R13988536;        41472.21;       6513.72;        3940.8;0;0;0010215486;01;05;       5119.99;       1499.99;             0;0;0;0
01711C;0001218198;6;2024;05;R;        1;20240321;0001R13988537;        67912.23;      10666.39;       6453.17;0;0;0010215487;01;05;      17279.96;       3809.98;             0;0;0;0
01704A;0001224401;5;2024;05;0;        1;20240321;0001R13988538;        34450.32;       5410.83;       3273.53;0;0;0010215488;01;05;       6479.97;       2159.99;             0;0;0;0
01702A;0001224409;0;2024;05;R;        1;20240321;0001R13988539;        49080.91;       7708.74;        4663.8;0;0;0010215489;01;05;       9539.97;       3089.99;           600;0;0;0
01713A;0001227669;3;2024;05;E;        1;20240321;0001R13988540;        36066.83;       5664.74;       3427.14;2192.83;0;0010215490;01;05;       6619.98;           450;             0;0;0;0
