orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
92,"B0000700035206","2024-02-19",6045809436,2,0.00,0.00,0.00,0.00,4338.83,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
93,"B0000700035207","2024-02-19",6045889098,2,0.00,0.00,0.00,0.00,3297.51,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
94,"B0000700035208","2024-02-19",6046005497,2,0.00,0.00,0.00,0.00,954.37,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
95,"B0000700035209","2024-02-19",6046507795,2,0.00,0.00,0.00,0.00,1096.22,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
96,"B0000700035210","2024-02-19",6046691154,2,0.00,0.00,0.00,0.00,4217.35,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
97,"B0000700035211","2024-02-19",6047178478,2,0.00,0.00,0.00,0.00,5692.53,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
98,"B0000700035212","2024-02-19",6092860757,2,0.00,0.00,0.00,0.00,3297.52,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
99,"B0000700035213","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,1700.24,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
100,"B0000700035214","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,1593.97,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
101,"B0000700035215","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,1715.42,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
102,"B0000700035216","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,667.95,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
103,"B0000700035217","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,389.64,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
104,"B0000700035218","2024-02-19",6094264630,2,0.00,0.00,0.00,0.00,278.31,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
